id,type,code,latin,persian,description,parent_id,is_active,is_default
f5cd9e46-bf6b-4542-9f41-34f0addf2d71,ENUM_TYPE,D26,Day 26,26,Day 26 of month,59ee16ae-53af-471e-90eb-39d08287f7bb,true,false
3a4794e0-b468-4387-942e-7fe6d27bcb5e,ENUM_TYPE,D27,Day 27,27,Day 27 of month,59ee16ae-53af-471e-90eb-39d08287f7bb,true,false
5d071e0d-0651-4f6a-9483-f3544f008eb1,ENUM_TYPE,D28,Day 28,28,Day 28 of month,59ee16ae-53af-471e-90eb-39d08287f7bb,true,false
a5151abc-f1ab-4c43-9411-a9e1fe9b9ac5,ENUM_TYPE,D29,Day 29,29,Day 29 of month,59ee16ae-53af-471e-90eb-39d08287f7bb,true,false
b892a0e8-0f6e-47c2-b394-d3ce9ead2ac3,ENUM_TYPE,D30,Day 30,30,Day 30 of month,59ee16ae-53af-471e-90eb-39d08287f7bb,true,false
6223373f-3e3c-44a3-9838-4efd561d3b69,ENUM_TYPE,D31,Day 31,31,Day 31 of month,59ee16ae-53af-471e-90eb-39d08287f7bb,true,false
4aec0f7f-b455-4771-b51c-f2c36250fa5d,ENUM_TYPE,ENUM_MONTH,Months,ماه‌های سال,Parent category for ماه‌های سال,,true,false
fb768718-9802-4dae-9286-85addc12baad,ENUM_TYPE,FRV,Farvardin,فروردین,Farvardin,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
3759d0d9-4ddc-4bdc-a4fa-034ffc3eb068,ENUM_TYPE,ORD,Ordibehesht,اردیبهشت,Ordibehesht,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
b264022d-0cdb-43a0-99ea-007fea8280b2,ENUM_TYPE,KHR,Khordad,خرداد,Khordad,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
0bab04e5-5112-466b-acb1-9d8a39a566bf,ENUM_TYPE,TIR,Tir,تیر,Tir,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
9fc627db-97da-4a53-9786-beba2b0bb160,ENUM_TYPE,MRD,Mordad,مرداد,Mordad,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
c790ac8e-80c3-4dc9-97ea-35093343c915,ENUM_TYPE,SHR,Shahrivar,شهریور,Shahrivar,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
77cadee2-79c3-4c66-b17e-3b14d7359819,ENUM_TYPE,MHR,Mehr,مهر,Mehr,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
55d0068e-58eb-4d57-b0ee-e2dbfb957bb7,ENUM_TYPE,ABN,Aban,آبان,Aban,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
